item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,l1_validated,l2_validated,l3_validated,gender_validated,primary_fop_validated,sub_sport_validated,corrected_columns,reasoning
champs_sports_clothing_hoodies & sweatshirts_hoodies & sweatshirts_nike_nike tech fleece full-zip windrunner hoodie - men's,champs_sports,clothing > hoodies & sweatshirts > hoodies & sweatshirts,Apparel,Jackets & Outerwear,,Men's,basketball,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l2"", ""l3"", ""primary_fop""]","The product is a 'Nike Tech Fleece Full-Zip Windrunner Hoodie', which fits the definition of a fleece hoodie, categorizing it under L2 'Tops' and L3 'Fleece Tops'. The primary FoP should be 'sportswear' as it is a lifestyle/casual athletic-inspired apparel item, not specifically for basketball performance."
champs_sports_clothing_hoodies & sweatshirts_hoodies & sweatshirts_nike_nike tech fleece full-zip hoodie - men's,champs_sports,clothing > hoodies & sweatshirts > hoodies & sweatshirts,Apparel,Tops,,Men's,training,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'Nike Tech Fleece Full-Zip Hoodie', which fits the L3 category 'Fleece Tops' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a lifestyle/casual athletic-inspired apparel, not specifically for training."
champs_sports_shoes_casual sneakers_casual sneakers_jordan_jordan zoom separate - men's,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Track Suits,,Men's,basketball,,Footwear,,,Men's,basketball,performance_basketball,"[""l1"", ""l2"", ""sub_sport""]","The product is a men's basketball shoe, not apparel. Therefore, L1 should be 'Footwear' and L2 should be 'null'. The primary FoP is correctly identified as 'basketball', but the sub-sport should be 'performance_basketball' as it is a non-signature performance basketball shoe."
champs_sports_accessories_socks_socks_nike_nike 6 pack everyday plus cushioned socks - men's,champs_sports,accessories > socks > socks,Apparel,Underwear,,Men's,running,,None,,,Men's,,,"[""l1"", ""l2"", ""primary_fop""]","The product is socks, which are classified under 'None' for L1 as they are not considered apparel or footwear. L2 should be null because L2 is only applicable for Apparel. The primary FoP should be null as socks do not fit into any specific Field of Play category."
champs_sports_shoes_casual sneakers_casual sneakers_nike_nike air max plus - men's,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,,,Men's,training,cross_training,Footwear,,,Men's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The product is a Nike Air Max Plus, which is a lifestyle/casual sneaker. It should be classified under 'sportswear' for the primary FoP, with 'sportswear_running' as the sub-sport, as it is a running-inspired lifestyle silhouette. The current classification of 'training' and 'cross_training' is incorrect for this type of product."
"costco_clothing, luggage & handbags_weatherproof_weatherproof vintage jogger",costco,"clothing, luggage & handbags",Apparel,Bottoms,Baselayer Bottoms,Unisex/Undefined,cheer_dance,,Apparel,Bottoms,Fleece Bottoms,Unisex/Undefined,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'Weatherproof Vintage Jogger', which suggests it is a cozy/warmth-focused bottom, aligning with 'Fleece Bottoms' rather than 'Baselayer Bottoms'. The primary FoP should be 'sportswear' as joggers are typically lifestyle/casual wear, not specific to 'cheer_dance'."
"costco_clothing, luggage & handbags_calvin klein_calvin klein jogger",costco,"clothing, luggage & handbags",Apparel,Bottoms,Fleece Bottoms,Unisex/Undefined,training,,Apparel,Bottoms,Fleece Bottoms,Unisex/Undefined,sportswear,,"[""primary_fop""]","The product is a 'Calvin Klein jogger', which aligns with the 'Fleece Bottoms' category under L3. Given the casual nature of joggers and the lack of performance-specific signals, the correct Field of Play is 'sportswear' rather than 'training'."
"costco_clothing, luggage & handbags_weatherproof_weatherproof vintage shorts",costco,"clothing, luggage & handbags",Apparel,Bottoms,Shorts,Unisex/Undefined,tennis,,Apparel,Bottoms,Shorts,Unisex/Undefined,sportswear,,"[""primary_fop""]","The product is 'Weatherproof Vintage Shorts', which aligns with casual/lifestyle apparel, fitting the 'sportswear' FoP rather than 'tennis', which is for performance tennis apparel."
"costco_clothing, luggage & handbags_adidas_unknown adidas product",costco,"clothing, luggage & handbags",Apparel,Bottoms,Other Bottoms,Men's,volleyball,,None,,,Unisex/Undefined,,,"[""l1"", ""l2"", ""l3"", ""gender"", ""primary_fop""]","The item key 'costco_clothing, luggage & handbags_adidas_unknown adidas product' and web categories 'clothing, luggage & handbags' suggest this is not a specific apparel or footwear item but rather an accessory or bag, which falls under L1: None. The gender is Unisex/Undefined due to lack of specific gender signals. The primary FoP is null as the product does not fit any specific field of play category."
"costco_clothing, luggage & handbags_32d skort",costco,"clothing, luggage & handbags",Apparel,Bottoms,Skirts,Unisex/Undefined,volleyball,,Apparel,Bottoms,Skirts,Unisex/Undefined,,,"[""primary_fop""]","The product is a skort, which fits under L1: Apparel, L2: Bottoms, and L3: Skirts. There is no indication that this skort is specifically designed for volleyball, so the primary FoP should be null as there is no clear sport-specific context."
"costco_clothing, luggage & handbags_levi's_levi's 505 jeans",costco,"clothing, luggage & handbags",Apparel,Bottoms,Pants,Unisex/Undefined,sportswear,,None,,,Unisex/Undefined,,,"[""l1"", ""l2"", ""l3"", ""primary_fop""]","The product is 'Levi's 505 jeans', which are not considered athletic apparel. According to the classification documentation, jeans are excluded from the 'Bottoms' category under 'Apparel'. Therefore, the correct L1 classification is 'None', as jeans fall under out-of-scope items. Consequently, L2, L3, and Primary FoP should be null."
"costco_clothing, luggage & handbags_adidas tight",costco,"clothing, luggage & handbags",Apparel,Bottoms,Tights,Unisex/Undefined,tennis,,Apparel,Bottoms,Tights,Unisex/Undefined,training,training_other,"[""primary_fop"", ""sub_sport""]","The product is an 'adidas tight', which fits the 'Tights' category under 'Bottoms'. The primary FoP 'tennis' is incorrect as there are no signals indicating a tennis-specific context. 'Training' is more appropriate for general athletic tights, and 'training_other' is used as the sub-sport since no specific training sub-category is indicated."
"costco_clothing, luggage & handbags_fila_unknown fila product",costco,"clothing, luggage & handbags",Apparel,Tops,,Unisex/Undefined,basketball,,None,,,Unisex/Undefined,,,"[""l1"", ""l2"", ""primary_fop""]","The item is categorized under 'clothing, luggage & handbags' which suggests it is not strictly apparel or footwear. Therefore, it should be classified as 'None' for L1. L2 and primary FoP should be null as they are not applicable for 'None' category."
"costco_clothing, luggage & handbags_calvin klein_calvin klein bra",costco,"clothing, luggage & handbags",Apparel,Bras,,Unisex/Undefined,training,,Apparel,Bras,,Women's,training,,"[""gender""]","The product is a bra, which typically targets women, so the gender should be 'Women's' instead of 'Unisex/Undefined'. All other classifications are correct based on the product type and context."
"costco_clothing, luggage & handbags_32d dress",costco,"clothing, luggage & handbags",Apparel,Dresses,,Unisex/Undefined,cheer_dance,,None,,,Unisex/Undefined,,,"[""l1"", ""l2"", ""primary_fop""]",The item is categorized under 'luggage & handbags' which falls under 'None' for L1 as it is not apparel or footwear. L2 and primary FoP are not applicable for 'None' category.
"costco_clothing, luggage & handbags_k.bell_k bell ladies' no show sock, 10-pair, assorted colors",costco,"clothing, luggage & handbags",Apparel,Underwear,,Women's,sportswear,,None,,,Women's,,,"[""l1"", ""l2"", ""primary_fop""]","The product is a pair of socks, which are excluded from the Apparel category and should be classified under L1: None. L2 and Primary FoP are not applicable for this product type."
"costco_clothing, luggage & handbags_clothing for boys_sleepwear for boys___felina_felina ladies' velour track suit",costco,"clothing, luggage & handbags > clothing for boys > sleepwear for boys >  > ",Apparel,Track Suits,,Kids,sportswear,,Apparel,Track Suits,,Women's,sportswear,,"[""gender""]","The item is a 'ladies' velour track suit', indicating it is targeted at women, not kids. Therefore, the gender classification should be 'Women's' instead of 'Kids'. All other classifications are correct based on the product description and classification documentation."
"costco_clothing, luggage & handbags_eddie bauer_unknown eddie bauer product",costco,"clothing, luggage & handbags",Apparel,Jackets & Outerwear,,Unisex/Undefined,basketball,,None,,,Unisex/Undefined,,,"[""l1"", ""l2"", ""primary_fop""]","The item is categorized under 'clothing, luggage & handbags' which suggests it is not strictly apparel or footwear. 'Eddie Bauer' is known for outdoor and casual products, often including luggage and bags, which fall under 'None' for L1. The current L2 and primary FoP classifications are incorrect as they do not align with the product type."
dicks_sporting_goods_athletic clothing_men's clothing_men's shorts_shorts_nike_nike men's club french terry flow shorts,dicks_sporting_goods,athletic clothing > men's clothing > men's shorts > shorts,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is 'Nike Men's Club French Terry Flow Shorts', which indicates it is a fleece bottom, not a baselayer. The primary FoP should be 'sportswear' as it is a casual/lifestyle item, not specifically for basketball."
"costco_clothing, luggage & handbags_skechers_unknown skechers product",costco,"clothing, luggage & handbags",Footwear,,,Unisex/Undefined,basketball,outdoor_soccer,None,,,Unisex/Undefined,,,"[""l1"", ""primary_fop"", ""sub_sport""]","The item key 'costco_clothing, luggage & handbags_skechers_unknown skechers product' and web categories 'clothing, luggage & handbags' suggest this is not a footwear item but rather an accessory or equipment, which falls under L1: None. The current classifications of primary FoP as 'basketball' and sub-sport as 'outdoor_soccer' are incorrect as they do not align with the product description or web categories."
dicks_sporting_goods_athletic clothing_men's clothing_men's pants_pants_nike_nike men's sportswear club fleece joggers,dicks_sporting_goods,athletic clothing > men's clothing > men's pants > pants,Apparel,Bottoms,Fleece Bottoms,Men's,training,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""primary_fop""]","The product is a Nike Sportswear Club Fleece Jogger, which fits the definition of sportswear as it is lifestyle/casual athletic-inspired apparel for everyday wear. The current classification of 'training' is incorrect as the product does not have performance features typical of training apparel."
dicks_sporting_goods_athletic clothing_women's clothing_women's pants_pants_nike_nike sportswear women's essential fleece pants,dicks_sporting_goods,athletic clothing > women's clothing > women's pants > pants,Apparel,Bottoms,Pants,Women's,training,,Apparel,Bottoms,Fleece Bottoms,Women's,sportswear,,"[""l3"", ""primary_fop""]","The product is described as 'Nike Sportswear Women's Essential Fleece Pants', indicating it is fleece, which should be classified under 'Fleece Bottoms' for L3. The term 'Sportswear' in the product name suggests it is lifestyle/casual apparel, not performance, so the primary FoP should be 'sportswear' instead of 'training'."
dicks_sporting_goods_shoes_men's shoes_men's cleats_cleats_men's football cleats_nike_nike vapor edge pro 360 2 football cleats,dicks_sporting_goods,shoes > men's shoes > men's cleats > cleats > men's football cleats,Apparel,Bottoms,Other Bottoms,Men's,soccer,,Footwear,,,Men's,american_football,,"[""l1"", ""l2"", ""l3"", ""primary_fop""]","The product is a pair of football cleats, which falls under the 'Footwear' category, not 'Apparel'. The primary field of play should be 'american_football' as the product is specifically for American football, not soccer. L2 and L3 are not applicable for footwear."
dicks_sporting_goods_athletic clothing_men's clothing_men's swimsuits_nike_nike men's core contend 8” volley swim trunks,dicks_sporting_goods,athletic clothing > men's clothing > men's swimsuits,Apparel,Bottoms,Skirts,Men's,volleyball,,None,,,Men's,,,"[""l1"", ""l2"", ""l3"", ""primary_fop""]","The product is swim trunks, which are classified as swimwear and fall under L1: None according to the documentation. Therefore, L2 and L3 should be null. The primary FoP is also null as swimwear is out of scope for the provided FoP categories."
dicks_sporting_goods_athletic clothing_women's clothing_women's pants_pants_nike_nike women's dri-fit mid-rise tights,dicks_sporting_goods,athletic clothing > women's clothing > women's pants > pants,Apparel,Bottoms,Tights,Women's,soccer,,Apparel,Bottoms,Tights,Women's,training,cross_training,"[""primary_fop"", ""sub_sport""]","The product is Nike Dri-FIT tights, which are typically used for training due to their moisture-wicking properties. The current classification of 'soccer' is incorrect as there are no soccer-specific signals. The correct FoP is 'training' with a sub-sport of 'cross_training' due to the general training context of Dri-FIT apparel."
dicks_sporting_goods_shoes_men's shoes_men's cleats_cleats_men's track & field cleats_nike_nike zoom rival sprint track and field shoes,dicks_sporting_goods,shoes > men's shoes > men's cleats > cleats > men's track & field cleats,Apparel,Bras,,Men's,running,,Footwear,,,Men's,running,track_field_running,"[""l1"", ""l2"", ""sub_sport""]","The product is a track and field shoe, which falls under Footwear, not Apparel. L2 and L3 are not applicable for Footwear. The sub-sport should be 'track_field_running' as it is specifically for track and field use."
dicks_sporting_goods_athletic clothing_women's clothing_jackets & vests_the north face_the north face women's osito fleece jacket,dicks_sporting_goods,athletic clothing > women's clothing > jackets & vests,Apparel,Jackets & Outerwear,,Women's,hiking,,Apparel,Jackets & Outerwear,Fleece Tops,Women's,hiking,,"[""l3""]","The product is a fleece jacket, which should be classified under 'Fleece Tops' in L3 according to the classification rules. The current L3 classification is null, so it needs to be corrected."
"dicks_sporting_goods_athletic clothing_women's clothing_women's athletic skirts, skorts & dresses_fp movement_fp movement women's hot shot mini dress",dicks_sporting_goods,"athletic clothing > women's clothing > women's athletic skirts, skorts & dresses",Apparel,Dresses,,Women's,volleyball,,Apparel,Dresses,,Women's,training,training_other,"[""primary_fop"", ""sub_sport""]","The product is a women's athletic dress, which fits the L1 'Apparel' and L2 'Dresses' categories. The gender is correctly identified as 'Women's'. The primary FoP was incorrectly classified as 'volleyball'; it should be 'training' as the dress is likely intended for general athletic use rather than a specific sport like volleyball. Since the specific sub-sport is unclear, 'training_other' is appropriate."
dicks_sporting_goods_athletic clothing_men's clothing_hoodies & sweatshirts_nike_nike men's sportswear club fleece hoodie,dicks_sporting_goods,athletic clothing > men's clothing > hoodies & sweatshirts,Apparel,Tops,,Men's,basketball,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'Nike Men's Sportswear Club Fleece Hoodie', which fits the L3 category 'Fleece Tops' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a lifestyle/casual athletic-inspired apparel, not performance basketball apparel."
dicks_sporting_goods_athletic clothing_men's clothing_nike_mnswclubjg/b,dicks_sporting_goods,athletic clothing > men's clothing,Apparel,Track Suits,,Men's,basketball,,Apparel,Track Suits,,Men's,sportswear,,"[""primary_fop""]","The item is a men's track suit, which fits the 'sportswear' FoP as it is likely a casual/lifestyle item rather than performance basketball apparel. The current primary FoP of 'basketball' is incorrect for a track suit."
dicks_sporting_goods_athletic clothing_athletic & outdoor accessories_socks_nike_nike dri-fit everyday plus cushioned training crew socks - 6 pack,dicks_sporting_goods,athletic clothing > athletic & outdoor accessories > socks,Apparel,Underwear,,Men's,training,,None,,,Men's,,,"[""l1"", ""l2"", ""primary_fop""]","The product is socks, which are excluded from the Apparel category and should be classified under L1: None. L2 and Primary FoP are not applicable for L1: None. Gender remains Men's as indicated by the product description."
dicks_sporting_goods_shoes_women's shoes_women's athletic & sneakers_athletic shoes_women's_nike_nike women's air max 270 shoes,dicks_sporting_goods,shoes > women's shoes > women's athletic & sneakers > athletic shoes > women's,Footwear,,,Women's,training,cross_training,Footwear,,,Women's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The Nike Air Max 270 is a lifestyle shoe inspired by running silhouettes, fitting the 'sportswear' FoP with 'sportswear_running' as the sub-sport. It is not a training shoe, so the primary FoP and sub-sport were corrected."
foot_locker_shoes_boots_outdoor boots_ugg_ugg ultra mini platform - girls' grade school,foot_locker,shoes > boots > outdoor boots,Apparel,Bottoms,Baselayer Bottoms,Kids,sportswear,,Footwear,,,Kids,sportswear,sportswear_other,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a type of footwear (boots), not apparel, so L1 should be 'Footwear' and L2 and L3 should be 'null'. The primary FoP 'sportswear' is appropriate for casual/lifestyle boots, and 'sportswear_other' is used for sub-sport as it doesn't fit specific sub-sport categories."
foot_locker_clothing_pants_pants_nike_nike tech fleece joggers - men's,foot_locker,clothing > pants > pants,Apparel,Bottoms,Fleece Bottoms,Men's,training,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""primary_fop""]","The product is 'Nike Tech Fleece Joggers', which are categorized as sportswear due to their lifestyle and casual nature, not training. The current classification of 'training' for Primary FoP is incorrect and should be 'sportswear'."
foot_locker_clothing_pants_pants_nike_nike club joggers - men's,foot_locker,clothing > pants > pants,Apparel,Bottoms,Pants,Men's,soccer,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product 'Nike Club Joggers' is a type of fleece bottoms, not woven pants, so L3 should be 'Fleece Bottoms'. The primary FoP should be 'sportswear' as joggers are typically casual/lifestyle apparel, not specific to soccer."
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike dunk low - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Other Bottoms,Women's,sportswear,,Footwear,,,Women's,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a Nike Dunk Low, which is a type of casual sneaker, not apparel. Therefore, the correct L1 classification is 'Footwear'. L2 and L3 should be 'null' as they are not applicable for footwear. The primary FoP is correctly identified as 'sportswear', and the sub-sport should be 'sportswear_basketball' as Nike Dunk Low is a basketball-inspired lifestyle sneaker."
dicks_sporting_goods_athletic clothing_women's clothing_shorts_women's shorts_nike_nike women's pro 3” shorts,dicks_sporting_goods,athletic clothing > women's clothing > shorts > women's shorts,Apparel,Bottoms,Shorts,Women's,basketball,,Apparel,Bottoms,Baselayer Bottoms,Women's,training,cross_training,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is Nike Women's Pro 3” Shorts, which are typically compression or baselayer shorts, thus should be classified as 'Baselayer Bottoms' at L3. The primary FoP should be 'training' with a sub-sport of 'cross_training' as these shorts are designed for training and gym workouts, not specifically for basketball."
foot_locker_clothing_shorts_shorts_nike_nike gx club shorts - men's,foot_locker,clothing > shorts > shorts,Apparel,Bottoms,Shorts,Men's,basketball,,Apparel,Bottoms,Shorts,Men's,sportswear,,"[""primary_fop""]","The product is a pair of shorts, which fits the L1, L2, and L3 classifications as Apparel, Bottoms, and Shorts respectively. The gender classification as Men's is correct based on the item key. The primary FoP was corrected from basketball to sportswear because the item key 'Nike GX Club Shorts' suggests a casual/lifestyle product rather than a performance basketball item."
foot_locker_shoes_casual sneakers_casual sneakers_on running_on cloudswift 3 - men's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Skirts,Men's,training,,Footwear,,,Men's,sportswear,sportswear_running,"[""l1"", ""l2"", ""l3"", ""primary_fop"", ""sub_sport""]","The item is a casual sneaker from the On Running brand, specifically the On Cloudswift 3, which is a men's shoe. The current classification incorrectly lists it as Apparel, Bottoms, and Skirts. It should be classified under Footwear. The primary field of play should be sportswear, as it is a casual sneaker, with a sub-sport of sportswear_running due to its running-inspired design. Gender classification as Men's is correct."
foot_locker_clothing_tights_tights_nike_nike pro 365 tights - women's,foot_locker,clothing > tights > tights,Apparel,Bottoms,Tights,Women's,basketball,,Apparel,Bottoms,Tights,Women's,training,cross_training,"[""primary_fop"", ""sub_sport""]","The product is 'Nike Pro 365 Tights - Women's', which suggests it is designed for training or gym activities rather than basketball. The 'Nike Pro' line is typically associated with training and cross-training activities, not basketball. Therefore, the primary FoP should be 'training' with a sub-sport of 'cross_training'."
foot_locker_clothing_jackets_jackets_nike_nike woven windrunner lined hooded jacket - men's,foot_locker,clothing > jackets > jackets,Apparel,Jackets & Outerwear,,Men's,soccer,,Apparel,Jackets & Outerwear,Jackets,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'Nike woven windrunner lined hooded jacket', which fits the L3 category 'Jackets' under 'Jackets & Outerwear' as it is a lightweight jacket. The primary FoP should be 'sportswear' as it is a casual jacket, not specifically designed for soccer."
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air vapormax flyknit 2021 - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Dresses,,Women's,training,,Footwear,,,Women's,sportswear,sportswear_running,"[""l1"", ""l2"", ""primary_fop"", ""sub_sport""]","The product is a Nike Air VaporMax Flyknit 2021, which is a type of footwear, not apparel. The web categories indicate it is a casual sneaker, aligning with the sportswear FoP. The sub-sport 'sportswear_running' is appropriate as the VaporMax is a running-inspired lifestyle shoe. Gender remains 'Women's' as indicated."
foot_locker_shoes_performance basketball shoes_performance basketball shoes_new balance_new balance 550 - women's,foot_locker,shoes > performance basketball shoes > performance basketball shoes,Apparel,Bras,,Men's,running,,Footwear,,,Women's,basketball,performance_basketball,"[""l1"", ""gender"", ""primary_fop"", ""sub_sport""]","The item is a New Balance 550 shoe, which is a type of footwear, not apparel. The gender should be 'Women's' as indicated in the item key. The primary field of play is 'basketball' because the New Balance 550 is a basketball shoe, and the sub-sport is 'performance_basketball' as it is not a signature line."
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air force 1 '07 - men's,foot_locker,shoes > casual sneakers > casual sneakers,Footwear,,,Men's,sportswear,sportswear_basketball,Footwear,,,Men's,sportswear,sportswear_basketball,[],The current classifications are correct. The Nike Air Force 1 '07 is a lifestyle sneaker fitting the 'sportswear' FoP with 'sportswear_basketball' as the sub-sport due to its basketball-inspired design. The gender classification 'Men's' is appropriate based on the item description.
hoka_shoes_mens trail_hoka_stinson 7,hoka,shoes > mens trail,Apparel,Bottoms,Other Bottoms,Men's,,,Footwear,,,Men's,running,trail_running,"[""l1"", ""l2"", ""l3"", ""primary_fop"", ""sub_sport""]","The item is a pair of men's trail running shoes from Hoka, as indicated by the item key and web categories. Therefore, the correct L1 classification is 'Footwear'. L2 and L3 are not applicable for footwear. The primary FoP should be 'running' with a sub-sport of 'trail_running' based on the trail context."
foot_locker_accessories_socks_socks_nike_nike 6 pack dri-fit plus no show socks - men's,foot_locker,accessories > socks > socks,Apparel,Underwear,,Men's,soccer,,None,,,Men's,,,"[""l1"", ""l2"", ""primary_fop""]","The product is socks, which are classified under 'None' for L1 as they are not considered apparel or footwear. L2 should be null because L2 categories are only applicable for Apparel. The primary FoP should be null as socks do not fit into any specific Field of Play category."
foot_locker_clothing_jackets_nike_nk bk wt swoosh trk jkt,foot_locker,clothing > jackets,Apparel,Track Suits,,Men's,basketball,,Apparel,Jackets & Outerwear,Jackets,Men's,sportswear,,"[""l2"", ""l3"", ""primary_fop""]","The item is a track jacket, which should be classified under 'Jackets & Outerwear' for L2, not 'Track Suits' as it is not a set. For L3, 'Jackets' is appropriate as it is a lightweight jacket. The primary FoP should be 'sportswear' as track jackets are typically lifestyle/casual wear, not specific to basketball performance."
foot_locker_shoes_performance basketball shoes_jordan_jordan retro 3 - men's,foot_locker,shoes > performance basketball shoes,Apparel,Tops,,Men's,sportswear,,Footwear,,,Men's,basketball,sportswear_basketball,"[""l1"", ""primary_fop"", ""sub_sport""]","The item is a pair of Jordan Retro 3 shoes, which are categorized as footwear, not apparel. The web categories indicate 'performance basketball shoes', but the 'Jordan Retro' line is typically considered lifestyle/sportswear basketball, not performance. Therefore, the primary FoP should be 'sportswear' with a sub-sport of 'sportswear_basketball'. Gender remains 'Men's' as indicated."
hoka_shoes_performance running shoes_hoka_bondi 8,hoka,shoes > performance running shoes,Apparel,Tops,,Women's,running,,Footwear,,,Women's,running,road_running,"[""l1"", ""l2"", ""sub_sport""]","The item is a shoe, specifically a performance running shoe, which should be classified under L1: Footwear. L2 is not applicable for footwear, so it should be null. The sub-sport should be 'road_running' as the Hoka Bondi 8 is a road running shoe. The gender classification is correct as Women's, and the primary FoP is correctly identified as running."
hoka_shoes_performance running shoes_hoka_arahi 7,hoka,shoes > performance running shoes,Apparel,Bottoms,Pants,Women's,,,Footwear,,,Women's,running,road_running,"[""l1"", ""l2"", ""l3"", ""primary_fop"", ""sub_sport""]","The item is a performance running shoe from Hoka, as indicated by the item key and web categories. Therefore, it should be classified under L1: Footwear. L2 and L3 are not applicable for footwear. The primary FoP should be 'running' with a sub-sport of 'road_running' based on the performance running context. The gender classification 'Women's' is correct."
kids_foot_locker_clothing_shorts_shorts_nike_nike nsw tech fleece shorts - boys' grade school,kids_foot_locker,clothing > shorts > shorts,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,,Apparel,Bottoms,Fleece Bottoms,Kids,sportswear,,"[""l3"", ""gender"", ""primary_fop""]","The product is 'Nike NSW Tech Fleece Shorts - Boys' Grade School', indicating it is for kids, not men. The 'Tech Fleece' suggests it is a cozy/warmth-focused bottom, aligning with 'Fleece Bottoms'. The primary FoP should be 'sportswear' as it is casual/lifestyle apparel, not performance basketball."
kids_foot_locker_clothing_pants_pants_nike_nike nsw tech fleece pants - boys' grade school,kids_foot_locker,clothing > pants > pants,Apparel,Bottoms,Fleece Bottoms,Men's,soccer,,Apparel,Bottoms,Fleece Bottoms,Kids,sportswear,,"[""gender"", ""primary_fop""]","The item is a pair of fleece pants for boys, indicating it should be classified under 'Kids' for gender. The primary FoP should be 'sportswear' as the product is casual fleece pants, not specific to soccer."
hoka_shoes_performance running shoes_hoka_clifton 9,hoka,shoes > performance running shoes,Footwear,,,Women's,running,road_running,Footwear,,,Women's,running,road_running,[],"The current classifications are correct based on the item key and web categories. The product is a performance running shoe, specifically the Hoka Clifton 9, which aligns with the 'Footwear' L1 category and 'running' FoP with 'road_running' as the sub-sport. The gender classification as 'Women's' is also appropriate given the context."
kids_foot_locker_clothing_shorts_shorts_nike_nike nsw club shorts - boys' grade school,kids_foot_locker,clothing > shorts > shorts,Apparel,Bottoms,Shorts,Men's,basketball,,Apparel,Bottoms,Shorts,Kids,sportswear,,"[""gender"", ""primary_fop""]","The product is targeted at boys, indicating it should be classified under 'Kids' for gender. The item is a casual 'Nike NSW Club Shorts' which aligns with 'sportswear' rather than 'basketball' as it lacks specific basketball performance features."
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan retro 12 - boys' preschool,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Bottoms,Pants,Kids,sportswear,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a pair of casual basketball sneakers for kids, not apparel. Therefore, L1 should be 'Footwear', and L2 and L3 should be 'null'. The primary FoP is 'sportswear' with a sub-sport of 'sportswear_basketball' due to the casual basketball sneaker context."
kids_foot_locker_shoes_casual sneakers_casual sneakers_nike_nike huarache run - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bottoms,Other Bottoms,Kids,training,,Footwear,,,Kids,sportswear,sportswear_running,"[""l1"", ""l2"", ""l3"", ""primary_fop"", ""sub_sport""]","The product is a Nike Huarache Run shoe, which falls under Footwear, not Apparel. The web categories indicate it is a casual sneaker, aligning with sportswear. The Huarache is a running-inspired lifestyle shoe, fitting the sportswear_running sub-sport. Gender remains Kids as indicated by the item key."
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan aj 1 fund mid - girls' preschool,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Bottoms,Skirts,Kids,sportswear,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a casual basketball sneaker for kids, which falls under Footwear, not Apparel. The L2 and L3 classifications are not applicable for Footwear. The primary FoP is sportswear, with a sub-sport of sportswear_basketball due to the casual basketball sneaker context."
kids_foot_locker_shoes_performance basketball shoes_performance basketball shoes_jordan_jordan mvp - boys' grade school,kids_foot_locker,shoes > performance basketball shoes > performance basketball shoes,Apparel,Tops,,Kids,basketball,,Footwear,,,Kids,basketball,performance_basketball,"[""l1"", ""sub_sport""]","The item is a pair of performance basketball shoes for kids, as indicated by the item key and web categories. Therefore, the correct L1 classification is 'Footwear'. The sub-sport should be 'performance_basketball' based on the product type and context."
kids_foot_locker_shoes_sneakers_jordan_jordan aj 3 retro - girls' grade school,kids_foot_locker,shoes > sneakers,Apparel,Dresses,,Kids,running,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""primary_fop"", ""sub_sport""]","The product is a pair of sneakers (Jordan AJ 3 Retro) for girls, which falls under Footwear, not Apparel. The primary FoP should be sportswear as it is a lifestyle basketball-inspired sneaker, and the sub-sport should be sportswear_basketball. Gender is correctly classified as Kids."
